CO,PT08.S1,PT08.S2,PT08.S3,PT08.S4,PT08.S5,T,RH,AH
4.7,1290,1393,655,2146,1511,30.9,28.2,1.2388
2.4,1056,1051,826,1758,1078,27.5,32.6,1.176
2.5,1116,1123,768,1826,1235,26.3,34.3,1.1605
2.7,1106,1122,783,1813,1202,25.5,34.1,1.0968
1.5,1018,992,839,1710,1103,24.7,39.3,1.2065
1.1,919,880,915,1628,1013,24.2,39.5,1.1764
0.6,807,681,1092,1435,765,24.8,37.8,1.1639
0.4,789,623,1146,1407,663,22,44.3,1.1553
0.6,825,709,1050,1491,813,19.3,51.4,1.1364
1,912,858,923,1608,894,19.8,50.4,1.1525
4.6,1339,1425,595,2264,1495,20.5,48.2,1.1474
4.8,1355,1526,567,2397,1658,22.8,42.7,1.1667
4,1250,1336,632,2104,1506,25.6,35.8,1.1548
2,1076,1055,817,1734,993,34.4,21,1.1248
2,1096,1087,801,1759,910,35.9,19.6,1.1422
2,1093,1094,797,1769,912,37.2,18.2,1.1389
1.9,1027,1066,837,1689,814,37.3,16.6,1.0435
1.9,1026,1085,848,1654,1341,37.4,14.9,0.9413
1.9,1015,1062,877,1668,847,36.4,15.1,0.9005
2.6,1028,1155,832,1691,925,35.4,14.7,0.8323
3.2,1074,1270,776,1833,1087,34.2,14.2,0.7502
3.4,1124,1289,765,1863,1132,31.1,18.7,0.8302
3.4,1111,1256,765,1851,1197,29.1,22,0.8702
2.9,1062,1183,794,1731,1229,27.2,22.5,0.7962
2.7,1072,1148,805,1683,1171,25.3,24.6,0.7796
1.3,936,871,990,1430,921,24.9,27.2,0.8429
1.3,988,937,894,1543,1008,23.5,32.2,0.922
0.9,924,839,957,1453,849,23.5,32.7,0.9349
0.6,839,725,1052,1368,668,24.1,32,0.9467
0.5,853,716,1047,1414,707,20.8,40.2,0.9725
0.9,918,810,936,1524,939,18.8,46.6,1.0027
0.7,890,791,950,1489,886,19.8,46,1.0524
0.6,865,752,996,1451,837,21.3,42.3,1.0625
1.3,1003,937,850,1622,1005,21.3,41.8,1.0449
1.9,1123,1088,746,1789,1191,24,36.6,1.0772
2.1,1146,1119,746,1823,1200,27.2,30.7,1.0884
1.8,1110,1021,820,1724,971,32.3,23.6,1.1271
1.8,1126,979,849,1700,907,31.9,25.8,1.2023
1.6,1067,962,860,1658,802,35.1,21.8,1.2093
1.2,1008,866,937,1573,695,36,20.5,1.1995
1.2,1062,924,892,1683,777,37,20.1,1.2423
1.4,1082,939,869,1678,818,36.4,21,1.2515
1.3,1042,897,901,1605,681,35.2,22.6,1.267
1.1,1022,823,964,1599,631,32.5,27.6,1.3229
1.1,1024,828,936,1601,641,29.1,35.1,1.3919
1.1,1048,828,922,1618,683,26.9,39.7,1.3898
1.8,1153,1022,765,1806,1013,26.1,42.2,1.4039
2.3,1195,1077,731,1860,1151,25.5,43.8,1.4095
2.6,1245,1091,734,1870,1134,24.9,45.6,1.4135
2,1086,946,847,1729,945,25.2,45.2,1.4262
1,972,804,955,1620,734,25.4,45.5,1.457
0.6,880,677,1109,1500,554,26.2,43.6,1.4599
0.5,879,658,1121,1511,564,24.4,48.3,1.4499
0.4,842,597,1237,1444,512,23.3,51,1.4346
0.4,797,543,1466,1347,410,21.6,48.1,1.2259
0.4,796,526,1534,1322,392,21.4,47.8,1.2005
0.4,767,520,1526,1287,377,20.5,46.8,1.1152
0.5,784,562,1460,1286,389,20.8,40.7,0.9882
0.6,811,622,1315,1307,432,22.3,35.3,0.9371
0.7,838,620,1292,1325,502,21.7,38.3,0.9842
0.7,821,632,1295,1302,469,24.4,29.6,0.8921
0.6,793,579,1380,1303,427,23.4,34.9,0.991
0.5,794,567,1426,1306,406,23.5,35.2,1.0019
0.6,821,614,1309,1350,430,22.4,39,1.04
0.8,849,628,1274,1379,453,22,41.7,1.0865
0.8,852,651,1246,1387,470,21.7,42.7,1.0949
1,847,645,1245,1364,480,20.7,43.4,1.047
1,849,682,1215,1378,472,20.3,42.6,1.0045
1,865,687,1191,1388,521,20.3,44.1,1.0392
0.9,848,689,1180,1403,520,20.1,45.2,1.0538
0.7,807,606,1340,1337,440,19.8,45.7,1.0424
0.8,814,627,1305,1351,446,19.6,45.3,1.0244
0.7,785,582,1377,1311,417,19.4,45.9,1.0242
0.5,748,515,1580,1261,381,19.7,44.8,1.0172
0.3,716,461,1795,1235,350,19.5,46.3,1.0363
0.43333,724,448,1917,1256,346,19.1,50.7,1.109
0.3,748,477,1703,1301,380,19.1,52.7,1.1545
0.7,888,683,1196,1483,563,20.3,49.3,1.1596
1.5,973,858,941,1584,779,21.1,46.2,1.1389
1.8,993,927,886,1665,842,21.5,44.5,1.129
1.4,929,825,992,1561,692,22.4,43.6,1.1637
1.5,962,858,941,1613,779,24.8,39.1,1.2039
1.2,906,786,1026,1538,633,23.9,42.1,1.2335
1.2,915,776,1029,1544,616,25.5,38.3,1.2328
1.3,928,787,1012,1585,606,25.4,39.2,1.2534
1,855,698,1134,1449,526,25.6,37,1.2006
1.4,920,783,1046,1550,588,24.5,38.4,1.1669
1.6,917,842,985,1563,674,23.9,39.9,1.1639
2.7,1072,1057,812,1820,885,24.2,39.2,1.1665
2.3,1000,985,846,1726,879,23.5,41.2,1.1759
1.5,914,845,972,1583,703,22.3,44.9,1.1973
1.4,888,799,1023,1531,637,21.7,46.5,1.1917
1,851,718,1134,1471,561,22,44.9,1.1699
1.1,870,749,1096,1487,612,22.2,44.1,1.1654
1.2,883,773,1062,1514,621,21.8,45.6,1.1763
1.2,886,767,1055,1532,702,21.6,46,1.1742
0.7,792,637,1249,1400,559,21.6,45.8,1.1715
0.5,754,535,1490,1335,435,20.7,48.3,1.168
0.4,770,586,1326,1392,527,20.8,48.5,1.18
0.5,797,654,1097,1450,720,20.8,49.4,1.1994
1,915,877,897,1651,937,19.9,51.8,1.1911
4.4,1287,1423,610,2319,1482,20.9,49.3,1.2049
4,1195,1424,609,2244,1489,23.7,39.9,1.1508
2.4,1003,1009,823,1710,1015,25.3,35.8,1.1421
2.1,1037,1046,838,1763,1004,28.8,29.1,1.1349
2.7,1114,1181,747,1928,1129,30.3,26.9,1.1399
2.8,1085,1171,767,1863,1068,32.8,23.3,1.138
2.3,1024,1087,824,1745,924,33.9,21.4,1.1135
2,1017,1057,859,1698,861,35.3,19.6,1.1036
2.6,1053,1173,785,1808,981,34,20.8,1.0898
2.7,1065,1198,766,1852,1043,35.3,18.8,1.0572
3.1,1136,1250,722,1940,1124,32.6,24.1,1.1688
3.1,1100,1202,732,1856,1004,30.8,28.7,1.2507
3.6,1143,1319,673,2001,1190,28.7,31.2,1.2099
2.9,1083,1157,742,1884,1072,26.8,35.1,1.2201
2.2,1009,1034,806,1763,925,25.3,39.4,1.2524
2,969,983,853,1680,862,23.9,40.9,1.1966
2.1,1029,993,816,1728,969,23,44.4,1.2354
1.9,1064,956,812,1770,932,22.2,53.9,1.4237
1.4,986,853,865,1645,794,20.9,59.8,1.4659
0.8,872,709,1034,1522,599,21.3,58.1,1.457
0.6,812,626,1134,1471,625,20.3,58.9,1.3878
0.5,810,612,1163,1462,595,21.3,54.5,1.3682
1,936,849,882,1640,886,20.6,57.4,1.3753
2.7,1244,1265,640,2084,1257,21.3,56.9,1.4226
5,1440,1556,517,2530,1561,22.9,52.4,1.4442
3.3,1180,1145,713,1929,1191,24.1,46.5,1.3802
2.4,1126,1058,765,1879,1061,27.1,38.8,1.3705
1.7,1005,910,881,1670,751,28.4,34.4,1.314
1.7,1032,940,862,1703,733,30.1,30.9,1.2958
2.4,1087,1106,755,1839,906,32.7,25.8,1.2547
2.2,1090,1119,756,1811,902,32.4,25.7,1.2271
2.2,1072,1050,802,1748,836,33.6,24.4,1.2472
2.3,1101,1057,797,1772,863,33,26,1.2877
2.6,1111,1086,787,1802,824,33.2,23.7,1.1855
2.3,1048,1070,807,1737,842,31.3,25.4,1.1415
3.3,1197,1249,698,1986,1132,28.3,31.7,1.1968
3.5,1173,1217,695,1930,1175,26.5,35,1.1981
2.5,1075,1079,764,1798,1111,24.4,40,1.2079
2.5,1067,1106,745,1840,1125,23.3,43.4,1.2251
2.4,1060,1099,742,1838,1077,22.5,45.3,1.2226
2.5,1081,1099,749,1854,1087,21.8,47.8,1.2325
2.1,1017,975,822,1722,1014,20.9,51,1.2446
1,836,734,1035,1501,801,20.8,51.7,1.2572
0.9,804,668,1102,1479,753,18.8,58.6,1.2581
0.5,798,677,1092,1473,696,20.2,53.8,1.2569
1.3,966,951,812,1735,996,18.3,60.8,1.2635
3.6,1277,1388,611,2241,1513,20.2,54.5,1.2777
4.8,1335,1496,562,2385,1598,21.9,49.9,1.2957
3.7,1297,1353,588,2128,1690,25.2,43,1.3548
1.9,1041,979,837,1705,1053,28,36.6,1.3603
1.7,1027,936,867,1696,931,27.1,38.3,1.3548
1.9,1037,969,841,1728,865,27.4,37,1.3319
1.8,1014,954,865,1697,818,29.4,32.9,1.3244
1.7,1007,971,866,1682,802,31.3,28.7,1.2885
1.8,998,958,881,1657,778,31.5,28.7,1.3058
1.7,1014,958,878,1684,767,30.9,30.3,1.3306
2.8,1157,1160,738,1936,1000,31.4,30.3,1.3689
3.6,1225,1281,683,2082,1143,30.7,31.4,1.3686
3.3,1131,1194,726,1907,1009,29,33.4,1.3169
2.9,1111,1126,754,1883,1076,27.3,37.5,1.342
1.7,976,909,878,1675,830,25.8,40.9,1.3389
1.7,1016,929,868,1724,853,25.2,43,1.358
2.8,1177,1156,684,1983,1310,24.6,45.8,1.394
1.8,1013,999,791,1751,1119,24,47.3,1.3914
1,886,813,936,1592,918,23.5,48.3,1.3777
0.5,791,658,1140,1467,609,24,45.8,1.3467
0.3,740,568,1259,1404,510,22.8,48.1,1.3184
0.4,775,628,1178,1437,554,21.9,50.1,1.3002
0.8,872,833,947,1598,760,20.4,54.1,1.28
2.2,1123,1134,711,1922,1170,20.8,52.6,1.2758
4.4,1306,1522,535,2450,1545,22.8,47.9,1.3156
3.7,1237,1332,605,2157,1508,25.2,42.9,1.3552
2.5,1143,1146,701,1917,1292,29.3,34.8,1.397
2.5,1170,1168,703,1949,1287,33.3,27.8,1.4013
2.3,1116,1128,739,1856,1042,34.9,24.9,1.363
2,1054,1069,785,1766,817,36.1,22.7,1.3324
2,1083,1097,765,1810,847,37.6,21.1,1.3478
2.1,1078,1069,782,1780,806,37.3,21.9,1.3761
2.4,1104,1143,747,1840,896,37.2,21.6,1.3514
3.1,1170,1257,693,1956,1069,35.6,23.4,1.341
2.9,1091,1201,738,1834,945,33.1,24.3,1.2087
3.5,1216,1318,673,2043,1168,30.5,29.5,1.2635
2.9,1125,1179,719,1921,1065,28.7,35.8,1.3834
1.5,971,881,916,1635,672,26.6,42.2,1.4452
1.7,1062,984,816,1796,842,25.2,46.6,1.4733
2.2,1140,1109,714,1892,1123,24.7,47.7,1.4649
1.6,1038,992,802,1731,1007,24.4,47.4,1.4301
1,935,836,909,1604,855,23.3,49.9,1.4135
0.6,861,729,1043,1528,689,23.8,47.3,1.3783
0.6,850,703,1021,1511,658,21.2,55,1.3689
0.5,817,651,1109,1472,628,21.7,52.6,1.35
0.5,825,667,1079,1475,659,22.8,48.9,1.3424
0.9,921,792,943,1595,799,23.5,47.6,1.3611
1.4,1031,945,806,1697,964,24.6,44.9,1.3661
1.6,1092,967,801,1774,910,27,39.9,1.402
1.6,1095,923,843,1736,999,29.3,35.9,1.4411
1.7,1097,964,822,1743,853,31.2,32.4,1.4517
1.7,1101,972,819,1714,752,34.4,26.6,1.423
1.5,1060,991,833,1718,778,36.1,22.1,1.3004
0.3,732,544,1353,1367,466,18.9,55.2,1.1895
0.5,809,681,1108,1463,609,18.2,57.6,1.193
1.3,934,911,857,1639,863,18.6,56,1.1865
2.5,1132,1220,691,1910,1203,20.8,48,1.1702
3.7,1221,1386,626,2138,1412,23.3,38.6,1.0919
2.5,1024,1111,770,1753,1069,25.1,32.4,1.017
1.8,938,987,862,1597,817,27.8,25.8,0.9473
1.5,869,897,965,1480,649,29.6,21,0.8548
1.5,846,930,947,1467,598,30.2,18,0.7613
1.2,838,868,1005,1454,540,30.1,18.5,0.7747
1.4,875,912,978,1504,601,29.5,19.4,0.7872
1.6,907,961,920,1564,668,31.1,18.2,0.8079
1.6,889,939,920,1492,647,30.3,19,0.8103
2.2,969,1064,834,1645,816,30.1,19.3,0.8083
3,1051,1157,760,1787,963,28.6,22.3,0.859
3,1043,1181,736,1813,1010,26.1,28.3,0.9407
2.7,1043,1121,736,1793,967,24.5,35.7,1.0807
2.1,1007,1027,798,1737,904,23.1,41.5,1.1582
1.6,966,959,838,1686,852,21.8,46.3,1.1913
1.3,920,875,915,1594,744,20.9,48.9,1.1945
1.1,889,831,956,1570,760,20.5,49.9,1.1903
0.7,825,715,1062,1462,613,20,50.9,1.1794
0.4,758,580,1215,1374,531,22.1,44.3,1.1665
0.2,719,522,1385,1343,509,19.8,50.3,1.1444
0.3,757,596,1236,1381,560,19,52.8,1.1489
0.9,890,831,922,1594,826,17.8,56.5,1.1375
3.1,1181,1255,632,2002,1334,18.2,55.8,1.1529
5,1332,1556,523,2394,1660,20.6,47.7,1.1448
2.8,1128,1124,717,1832,1362,22.8,41.9,1.1496
2.8,1128,1126,725,1856,1316,27.1,31.7,1.1147
2.1,1064,1069,766,1766,1089,30.4,26.4,1.131
3.1,1139,1240,702,1940,1129,31.1,26.2,1.1647
3,1121,1214,707,1912,1120,31.4,25.3,1.1444
2.1,1032,1083,776,1772,916,30.8,26.7,1.168
1.7,1040,1022,826,1747,812,31.8,25.6,1.1868
2.2,1076,1105,762,1782,959,33.5,22.9,1.1649
3.5,1177,1310,656,2011,1189,33.1,23.5,1.1673
3.6,1196,1303,654,2017,1199,31.7,25.9,1.1883
4.1,1204,1381,623,2085,1283,29,30.4,1.2013
4,1166,1304,646,2016,1291,27.4,33.6,1.2095
1.8,959,949,857,1640,949,25.2,36.4,1.1528
1.7,1004,997,813,1726,1018,24,39.6,1.1662
2.4,1050,1105,729,1807,1122,23.8,39.6,1.1558
1.2,965,900,864,1631,968,22.9,43.6,1.1974
0.8,849,744,1004,1496,806,22.8,43.9,1.202
0.5,809,666,1093,1455,714,21.8,47.3,1.2189
0.93333,768,591,1183,1402,606,20.8,50.3,1.2207
0.4,768,597,1155,1396,606,21.7,46.8,1.2031
1,917,842,934,1656,819,20.3,52.3,1.2367
3.8,1252,1380,579,2210,1462,20.5,52.3,1.245
3.2,1224,1268,605,2046,1478,21.7,49.6,1.2673
3.5,1277,1300,608,2090,1598,24,43.1,1.2677
3.2,1149,1192,672,1944,1449,28.5,31.7,1.2144
2.3,1091,1082,746,1790,1221,32.2,25.1,1.189
2.2,1053,1087,763,1762,1023,34.9,20.5,1.1279
2.1,1023,1042,796,1711,910,35.4,19.9,1.1222
1.9,1085,1075,767,1786,913,34.4,22.5,1.205
2.4,1116,1120,724,1854,1035,34.8,22.8,1.2488
2.5,1111,1131,735,1825,1085,34.3,22.4,1.1907
3.6,1210,1316,645,2030,1278,32.5,25.3,1.2165
3.9,1250,1339,616,2075,1383,31.3,27.3,1.2234
4.4,1297,1408,595,2134,1473,30.2,29,1.2224
4.8,1313,1345,603,2118,1507,28.5,33.3,1.2775
2.5,1146,1084,713,1829,1215,27.3,35.3,1.2606
2.8,1199,1152,685,1897,1242,26.1,37.8,1.2575
3.2,1274,1197,626,2023,1356,24.7,47.1,1.44
2.6,1243,1072,675,1978,1195,23.6,59.8,1.7193
1.5,1054,923,783,1793,899,23.3,60.5,1.706
1,962,778,929,1645,726,23.3,59.4,1.6753
0.6,871,639,1062,1528,684,23.7,53.5,1.546
0.6,877,658,1047,1530,779,21.2,60.9,1.5092
0.7,893,696,1008,1548,801,22.1,56.2,1.48
1.2,1030,851,824,1700,983,21.9,57,1.4742
1.5,1059,926,783,1750,989,24.7,45.9,1.4061
1.3,1020,860,864,1649,875,27,40.8,1.4286
1.6,1045,840,879,1656,807,29.1,37.4,1.4833
1.5,1029,866,874,1651,727,31.1,32.4,1.4351
1.2,959,763,976,1561,549,31.9,30.3,1.4125
1.1,975,798,939,1576,570,32.8,28.9,1.412
1.2,988,813,927,1596,596,33.4,27.8,1.4119
1.3,971,818,942,1565,585,35.3,23.7,1.3331
1.4,999,899,869,1629,637,35.8,22.4,1.2915
1.6,989,889,889,1602,664,35.3,20.8,1.1664
2.1,1075,1020,802,1732,797,33.3,23.9,1.2085
3,1190,1177,695,1934,1046,30.3,30.8,1.3044
2.8,1172,1108,706,1878,1058,28.3,34.5,1.3084
3.8,1256,1340,594,2176,1214,27.1,38.9,1.3758
3.2,1190,1203,658,1967,1056,25.4,43.2,1.3805
4.1,1249,1310,601,2114,1280,24.6,45.3,1.3767
2.6,1072,1120,711,1838,1045,23.7,46,1.3346
2,1035,1011,750,1752,1039,23,48.1,1.3322
0.9,839,690,1030,1457,640,24.8,43.4,1.3366
0.6,804,616,1144,1427,662,21.7,50.2,1.2917
0.6,811,651,1097,1442,579,21.9,50.7,1.3138
1.6,1028,934,818,1743,987,20.1,57,1.3216
2.6,1138,1141,671,1927,1197,21.5,51.8,1.3129
2.9,1203,1185,649,1968,1328,22.9,48.7,1.3416
2.8,1193,1136,667,1924,1370,25.7,41,1.3351
1.9,1049,898,858,1671,921,29.9,33.2,1.3793
1.9,1090,942,828,1713,876,32.9,28,1.3789
2.1,1070,976,808,1688,819,34,25.6,1.3363
1.9,1014,970,826,1684,763,34.7,22.6,1.2297
1.6,972,912,882,1596,675,35.5,20.3,1.1586
1.6,951,880,920,1539,637,35.9,18.8,1.0912
2.1,1033,1038,802,1690,826,36.2,18.6,1.0945
2.4,983,1094,817,1659,854,35.4,15.3,0.8613
2.8,973,1128,813,1642,894,32.9,15.5,0.7649
3.4,1083,1237,737,1786,1077,29.9,19.8,0.8211
3.4,1062,1176,763,1743,1121,28.1,22.4,0.8394
2.7,1011,1122,808,1680,1071,26.1,24.7,0.8233
2.6,1054,1110,765,1670,1167,25,28.7,0.8944
2.3,1013,1038,793,1598,1162,24.3,31,0.9268
1.2,870,823,975,1398,848,24,31.2,0.919
1,857,769,1006,1390,759,22.4,34.9,0.9362
0.9,835,739,1036,1382,694,21.2,37.6,0.9355
0.73333,763,622,1129,1321,689,21.2,39.4,0.9802
0.4,769,606,1171,1314,610,19.5,42.4,0.9515
0.9,891,790,960,1466,816,18.6,45.8,0.9723
1.8,1037,993,779,1680,1158,19.7,44.1,1.0039
2.2,1090,1065,728,1773,1228,21.9,39.4,1.0243
2.4,1117,1118,716,1791,1323,24.5,34.3,1.0407
2.3,1109,1074,761,1734,1274,30,25.6,1.0674
1.6,961,939,912,1508,846,34.5,18.9,1.0168
1.4,985,919,918,1540,737,36.3,17.5,1.0411
1.4,960,909,910,1523,675,37.7,16,1.0231
1,927,806,1013,1446,559,38.3,15.8,1.0465
1,958,795,1002,1481,604,38.4,17.5,1.1609
1.2,1019,842,935,1565,729,37.2,20.5,1.2813
1.3,1010,816,955,1567,741,34,26.4,1.3781
1.5,1030,844,917,1599,747,32.3,30.4,1.445
1.9,1100,946,827,1726,932,30.5,33.9,1.4564
1.8,1079,909,861,1686,928,29.2,37.8,1.5098
1.4,1036,859,900,1645,860,28.4,39.1,1.4881
1.7,1085,959,827,1747,963,27.7,40.6,1.4828
2.7,1214,1151,683,1938,1309,27.2,42.5,1.5069
2.1,1127,1041,728,1830,1266,26.5,44.8,1.528
1.4,1038,950,776,1750,1181,25.5,47.6,1.5318
1,948,829,873,1638,937,25.2,47.8,1.5076
0.8,869,723,975,1522,789,23.2,52.3,1.4668
0.5,809,628,1127,1490,682,24,50.3,1.4811
0.6,833,641,1088,1496,717,23.5,51.2,1.4634
0.6,857,661,1083,1511,696,23.5,50.8,1.452
1,966,820,913,1634,807,24.7,47.6,1.4597
1.6,1063,894,823,1688,1025,27.2,41.1,1.4611
1.9,1110,996,782,1771,1090,31,32.4,1.4294
1.7,1055,941,844,1648,932,35.2,24.8,1.3854
1.1,939,828,991,1486,639,37.8,18.5,1.1977
0.8,816,684,1195,1285,467,39,15.1,1.0424
0.7,841,712,1175,1339,476,41.3,12.8,0.9933
0.7,842,722,1163,1294,490,41.8,11.9,0.9476
1.2,990,852,967,1488,669,42.2,14.2,1.1609
1.6,1042,894,916,1537,800,41.4,15.5,1.2089
1.6,1089,893,879,1609,791,38.9,21.4,1.4605
1.7,1102,990,799,1685,849,34.3,26,1.3865
2,1095,996,799,1695,934,32.7,27.7,1.3439
2.3,1116,1075,761,1784,1081,30.5,30.4,1.3031
2.4,1105,1046,777,1751,1102,29,33.6,1.3277
1.7,1018,950,830,1636,914,28.2,36.6,1.3781
1.2,991,896,857,1616,926,27.2,38.9,1.3821
1,923,765,952,1508,786,26.7,40,1.3754
0.6,874,679,1049,1444,619,26,41.2,1.3598
0.4,838,632,1079,1438,634,24,46.6,1.37
0.5,827,656,1075,1447,722,24,46.4,1.3689
0.7,901,763,984,1552,717,23.7,47.1,1.3602
3.2,1291,1316,603,2172,1445,23.6,47.3,1.3634
5.6,1441,1606,503,2568,1786,25.5,43.1,1.3891
4.6,1363,1410,565,2199,1791,28.5,36.8,1.4128
3.3,1218,1198,671,1907,1413,32.6,28,1.3566
2.1,1132,1091,751,1795,1092,36.3,23.4,1.3902
1.9,1103,1060,770,1748,940,37.5,21.5,1.3673
1.9,1081,1053,770,1773,883,39.6,19,1.3447
1.6,1079,1018,793,1739,850,40.1,19.3,1.4013
2,1167,1087,741,1820,928,40.4,20,1.4854
1.8,1148,1037,772,1720,835,39.9,20.1,1.4495
2.9,1221,1230,670,1905,1157,39.1,19.6,1.3542
3.4,1255,1283,640,2023,1232,37,21.9,1.3503
3.1,1245,1287,635,2067,1288,33.9,26.8,1.3899
2.5,1162,1151,687,1912,1143,31.9,30.6,1.4201
1.8,1079,1020,754,1760,1014,29.7,33.9,1.3874
1.8,1091,1038,744,1786,1088,28.6,36.8,1.416
2,1085,1039,745,1790,1092,27.8,38.7,1.4187
1.5,1050,966,780,1748,1090,27.8,40,1.4691
0.8,941,814,873,1592,979,27.5,41.3,1.4962
0.4,891,705,980,1534,806,27.3,41.6,1.4906
0.83333,850,639,1048,1519,853,24.8,48,1.4857
0.5,863,652,1055,1504,816,25.9,45.1,1.4889
0.7,956,784,928,1634,934,25.3,47.6,1.5108
3.4,1384,1391,552,2316,1548,24.7,49.5,1.5201
5.7,1502,1631,459,2622,1858,27.1,43.1,1.5224
3.2,1219,1163,642,1963,1410,28.3,39.8,1.5053
2.7,1237,1157,663,1968,1334,32.4,32.3,1.5484
2.1,1181,1078,706,1870,1140,35.4,27.8,1.5733
2.8,1251,1154,682,1955,1111,35.5,27.4,1.5635
2.5,1214,1170,681,1963,1054,37.8,24.4,1.5722
2.1,1166,1062,726,1825,924,37.2,25.5,1.5914
2.5,1226,1157,683,1912,1041,37.2,25.6,1.6014
2.7,1265,1229,636,2040,1282,38,25,1.6312
3.7,1317,1338,593,2132,1362,37.1,26.9,1.6635
3.7,1372,1382,568,2268,1441,36.9,27.8,1.7099
4.6,1443,1443,543,2332,1559,34.7,31.9,1.7325
2.6,1200,1126,664,1979,1198,31.9,38.4,1.7897
2.5,1216,1130,655,1994,1246,30.5,42.3,1.8173
2.3,1160,1070,687,1929,1192,29.3,45.8,1.8362
2.2,1194,1106,667,1985,1194,28.2,48.1,1.8144
2.5,1199,1087,658,1954,1252,27.3,51,1.8287
0.9,965,818,844,1681,777,26.8,52.4,1.8141
0.8,961,801,850,1683,798,26,54.9,1.8141
0.5,864,629,1052,1558,728,26.9,51.8,1.805
0.7,952,742,892,1656,953,24.6,59.1,1.8013
0.9,1009,875,797,1738,1060,26.4,53.1,1.7987
2.2,1225,1155,643,1992,1338,27.3,46.4,1.6542
2.8,1245,1202,628,2039,1622,28.4,40.4,1.5442
2.9,1265,1209,638,2015,1812,30.8,37.1,1.6169
2.9,1276,1241,642,2024,1784,34.2,30.7,1.6252
3,1232,1183,675,1920,1509,37,26.5,1.6352
2.5,1193,1097,698,1832,1139,36.6,27.8,1.676
2.3,1162,1117,700,1857,1044,36.9,26.9,1.6477
2.1,1126,1097,723,1810,1015,39.3,22.2,1.552
1.9,1089,993,801,1675,825,38.5,22.4,1.5018
2.3,1134,1073,747,1765,1022,39.7,20.4,1.4594
4.2,1388,1418,568,2250,1913,38.8,24.2,1.6433
4.9,1506,1499,506,2485,2043,33.5,38,1.939
4.9,1352,1385,563,2205,1661,34,32.9,1.7251
3.5,1217,1227,641,2040,1404,31.9,33.7,1.5663
2.5,1149,1132,688,1936,1233,30.2,37.6,1.587
2.5,1156,1129,688,1941,1181,28.9,41,1.6096
2.6,1180,1122,678,1921,1272,27.8,45.2,1.6604
2.3,1109,1080,696,1874,1190,27.1,47.4,1.6701
1.5,1032,974,763,1800,982,26.2,49.4,1.6555
0.9,893,767,918,1607,805,26.9,49.3,1.7196
0.6,850,664,1038,1568,727,24.9,54.6,1.6908
0.8,938,782,879,1685,1001,23.4,58.6,1.6651
0.9,948,828,858,1711,994,24.4,55.2,1.6604
2.4,1225,1214,625,2090,1322,25.1,54.3,1.7057
3.9,1380,1359,538,2337,1617,26.6,51.2,1.7565
2.9,1276,1138,628,2021,1430,28.2,47.1,1.7752
2.7,1246,1093,667,1942,1357,31.6,39.4,1.7969
2,1141,996,767,1805,994,34.2,31.8,1.6837
2.4,1199,1124,680,1940,1054,36.6,27.1,1.6352
2,1156,1056,710,1842,945,37.6,26.9,1.715
1.8,1158,983,751,1803,808,38.1,26.3,1.7213
1.9,1163,1039,723,1814,888,37.8,26.9,1.7392
1.8,1078,1009,767,1730,787,37.8,22.7,1.4653
2.9,1244,1219,651,1949,1077,36.9,24.7,1.5134
3.3,1236,1239,637,1986,1106,34.5,28.5,1.531
4.4,1364,1376,580,2168,1356,32.5,30.9,1.4875
3.4,1193,1196,675,1888,1152,30.9,30.4,1.338
1.9,1078,985,778,1697,925,28.7,34.7,1.3457
2.1,1140,1035,726,1779,1059,27.7,39.3,1.4372
2.5,1239,1127,648,1930,1201,26.8,45.1,1.5645
2.3,1171,1093,669,1862,1205,26.1,45.3,1.5115
1.7,1065,977,736,1733,1103,25.9,46.1,1.5174
1.5,1024,882,791,1662,1072,25.3,47.6,1.513
0.86667,874,668,1043,1513,737,25.3,47.2,1.5025
0.5,887,647,1046,1500,740,25.1,48,1.5115
0.8,993,795,888,1629,770,24.8,50.6,1.5654
2.6,1299,1225,620,2077,1327,25.7,49.7,1.615
4.9,1529,1526,476,2559,1763,27.4,45.5,1.6396
2.9,1320,1210,595,2052,1477,29.3,40,1.6082
2.8,1226,1168,650,1952,1311,33.6,28.7,1.4693
1.8,1105,980,777,1745,980,34.6,27.7,1.4991
1.8,1160,1040,720,1810,961,35.6,27.2,1.5557
1.9,1125,1051,730,1771,923,36.9,23.3,1.4313
1.7,1099,1015,763,1732,839,38.8,20.7,1.4036
1.7,1124,1021,745,1735,827,38.1,22.6,1.4868
1.9,1105,995,778,1681,821,37.1,23,1.4229
2.1,1035,1043,804,1647,749,34.8,19.3,1.0543
2.4,1065,1110,757,1691,871,33.6,20.7,1.059
3,1051,1220,739,1729,1077,31.4,18.5,0.8376
2.8,1073,1124,752,1688,1175,29.5,23.8,0.9623
1.9,1008,1004,817,1588,1125,27.4,27.1,0.9736
2.1,1090,1073,745,1693,1124,26.1,31.1,1.0338
1.8,1048,983,780,1643,1064,25.5,34,1.0935
2.5,1131,1087,705,1738,1240,24,37.8,1.1125
1.1,953,874,854,1528,899,24.2,37.3,1.1118
0.7,897,745,968,1461,807,23.4,40.6,1.1571
0.4,828,639,1077,1371,573,22.6,43,1.1629
0.7,892,739,964,1479,768,20.2,50.7,1.1844
0.7,914,809,912,1530,807,20.5,49.3,1.176
